Respondent ID,Start Date,End Date,language,Please rate how often you listen to music:,,,,,,,Please write down below:,,,,Please rate how much you experience each of the following items when listening to the piece you just named,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How important are the lyrics compared to the music of the piece for you?,Please rate how often you listen to the piece you just named:,,,,,,,Tell us more: Why did you choose this piece of music? (Optional),What is your age (in years)?,What is your gender?,Please select the country in which you spent most of your childhood,Please select the country in which you mostly lived since you were 18 years old,Please select your country of residence,Which of the aforementioned countries best defines your cultural identity?,What is your highest level of education?,,Which title describes you best?,What is your current employment status?,,How would you consider your economic situation respective to your country of residence?,To what extent do you consider music to be beneficial for your wellbeing?,"Below are 16 statements with which you may agree or disagree. Using the 1-7 scale below, please indicate how much you agree with each statement.",,,,,,,,,,,,,,,,"Here are a number of personality traits that may or may not apply to you. Please indicate the extent to which you agree or disagree with each statement. You should rate the extent to which the pair of traits applies to you, even if one characteristic applies more strongly than the other.I see myself as:",,,,,,,,,
,,,,"for background purposes (e.g. when doing something else, help pass the time, or set the atmosphere)",to bring up memories (e.g. by listening to music that takes you back to a certain time or reminds you of loved ones such as friends or relatives),"to have fun (e.g. to feel good, enjoy yourself, seek some entertainment)","to feel music's emotions (e.g. by experiencing music’s emotions, being immersed and moved by them, letting the music evoke emotions in you)","to change your mood (e.g. when you want to relax, feel better, feel focused or creative, vent out negative thoughts or feelings, seek comfort, or feel less lonely)","to express yourself (e.g. to relate with and express your own identity, your social identity, your culture, or to reflect on values and attitudes)","to feel connected to other people (e.g. by sharing music, going to concerts together, bonding with the artists or other fans)",The name of the artist:,The title of the piece of music:,The album of the piece (Optional):,A link to the specific version of the piece you prefer (Optional):,Relaxation,Spirituality,Consolation,Security,Strength,Enthusiasm,Pride,Freedom,Happiness,Pleasure,Love,Sadness,Longing,Vulnerability,Being moved,Nostalgia,Tenderness,Empathy,Curiousity,Amusement,Anger,Tension,Belonging,Loneliness,Pain,Beauty,Eroticism,Energy,Agression,Fear,Dreaminess,Triumph,Rebelliousness,"If there are <strong>other emotions</strong> that you associate with this piece, please name them in the box below:",Response,for background purposes,to bring up memories,to have fun,to feel music's emotions,to change your mood,to express yourself,to feel connected to other people,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Other (please specify),Response,Response,Other (please specify),Response,Response,I'd rather depend on myself than others,I rely on myself most of the time; I rarely rely on others,"I often do ""my own thing""","My personal identity, independent of others, is very important to me",It is important that I do my job better than others,Winning is everything,Competition is the law of nature,"When another person does better than I do, I get tense and aroused","If a colleague gets a prize, I would feel proud",The well-being of my colleagues is important to me,"To me, pleasure is spending time with others",I feel good when I cooperate with others,Parents and children must stay together as much as possible,"It is my duty to take care of my family, even when I have to sacrifice what I want","Family members should stick together, no matter what sacrifices are required",It is important to me that I respect the decisions made by my groups,"Extraverted, enthusiastic","Critical, quarrelsome","Dependable, self-disciplined","Anxious, easily upset","Open to new experiences, complex","Reserved, quiet","Sympathetic, warm","Disorganized, careless","Calm, emotionally stable","Conventional, uncreative"
12870604313,08/05/2021 06:41:04 PM,08/05/2021 07:07:31 PM,es,3,2,1,3,4,4,4,Jessica Allen Coney,The Fame Monster,The Fame Monster,NO,3,2,4,1,3,2,2,4,3,1,2,3,3,1,1,2,3,3,3,3,1,1,4,3,2,3,2,3,2,4,2,2,2,NO,3,1,2,3,3,3,1,2,NO,3,1,12,6,7,12,3,,4,6,,2,2,1,2,3,3,4,4,3,4,5,6,7,6,5,4,3,3,1,2,2,3,4,5,5,4,5,6
12870605049,08/05/2021 06:41:12 PM,08/05/2021 07:06:43 PM,es,2,1,1,3,2,2,3,Bach,Bach 2000,Bach 2000,NO,1,2,4,3,3,2,1,3,2,2,4,4,1,2,2,2,4,3,3,3,2,4,3,4,3,4,3,2,2,2,2,1,3,NO,3,2,3,4,4,3,2,1,NO,3,2,15,12,10,15,3,,3,4,,2,2,3,4,5,5,4,4,3,4,5,6,7,6,5,4,3,4,1,2,3,4,3,4,5,4,5,4
12870604695,08/05/2021 06:41:08 PM,08/05/2021 07:03:47 PM,es,2,3,3,3,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12870646122,08/05/2021 06:56:45 PM,08/05/2021 07:03:23 PM,en,4,3,2,2,4,3,5,Ed Sheeran,The A Team,,,2,4,4,3,3,2,3,3,2,3,4,2,2,4,3,4,3,3,4,4,2,2,3,3,4,3,3,4,2,3,2,3,3,,5,2,3,4,5,4,5,4,,13,2,1,1,1,1,3,,2,3,,2,2,5,3,5,6,5,3,6,5,6,4,5,4,6,4,6,6,6,4,6,4,6,7,5,6,6,6
12870605398,08/05/2021 06:41:16 PM,08/05/2021 06:57:06 PM,es,2,1,1,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12870608853,08/05/2021 06:43:15 PM,08/05/2021 06:57:04 PM,es,3,3,3,2,3,4,3,James Blunt,you're beautiful,you're beautiful,,3,1,2,2,4,2,2,2,3,3,4,4,1,3,3,2,1,3,3,4,1,2,4,3,3,4,4,1,4,4,4,4,3,NO,4,5,1,3,5,5,4,2,NO,17,2,12,13,10,13,4,,2,6,,2,3,2,3,4,5,6,7,6,6,6,5,4,3,2,2,3,4,2,3,3,4,5,5,6,6,6,6
12870608644,08/05/2021 06:43:12 PM,08/05/2021 06:56:45 PM,es,3,3,4,4,2,5,3,James Blunt,you're beautiful,you're beautiful,,2,3,3,3,2,1,2,2,2,4,3,2,2,2,3,3,2,4,3,3,3,3,3,3,3,3,2,3,4,3,3,1,1,NO,3,4,3,4,2,4,3,4,NO,14,1,11,12,10,11,5,,3,5,,3,2,3,4,5,6,7,6,5,4,4,5,6,7,6,5,4,4,2,3,4,5,6,7,6,5,4,5
12870608540,08/05/2021 06:43:07 PM,08/05/2021 06:56:30 PM,es,3,3,3,4,4,5,4,James Blunt,you're beautiful,you're beautiful,,2,3,3,2,3,2,2,4,3,3,3,2,2,2,3,3,3,2,2,3,3,2,4,3,3,3,3,3,3,3,2,3,2,no,2,4,5,2,4,5,3,4,no,16,2,15,14,9,12,4,,4,2,,2,3,1,2,3,4,5,6,7,7,6,5,4,3,3,3,4,4,2,3,4,5,6,7,6,5,4,5
12870608412,08/05/2021 06:43:04 PM,08/05/2021 06:56:13 PM,es,2,4,4,3,2,2,3,James Blunt,you're beautiful,you're beautiful,,3,2,3,4,3,3,3,4,2,2,3,4,3,3,3,3,3,3,3,2,4,1,2,3,3,2,3,4,2,4,3,4,3,no,3,4,2,3,4,4,4,4,no,17,2,5,7,6,11,7,,1,7,,1,3,3,4,5,6,7,6,5,4,3,2,1,3,4,5,6,4,2,3,3,4,5,6,6,6,5,5
12870605393,08/05/2021 06:41:56 PM,08/05/2021 06:52:48 PM,es,3,3,3,2,2,3,2,Ludwig van Beethoven,beethovens 5 secrets,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,,2,2,2,3,3,3,4,3,,35,2,19,19,19,17,3,,3,2,,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12870605319,08/05/2021 06:41:53 PM,08/05/2021 06:52:37 PM,es,3,2,3,3,3,2,2,Ludwig van Beethoven,beethovens 5 secrets,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,2,3,3,3,3,3,3,3,,47,2,16,13,5,17,4,,2,3,,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12870605251,08/05/2021 06:41:49 PM,08/05/2021 06:52:27 PM,es,2,3,1,2,2,2,3,Ludwig van Beethoven,beethovens 5 secrets,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,2,3,4,4,3,3,4,3,,47,2,19,19,1,16,2,,3,3,,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12870605086,08/05/2021 06:41:36 PM,08/05/2021 06:52:18 PM,es,3,4,2,3,3,3,2,Ludwig van Beethoven,beethovens 5 secrets,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,2,3,3,3,3,3,3,3,,18,2,6,6,6,6,6,,3,1,,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12870605168,08/05/2021 06:41:43 PM,08/05/2021 06:52:06 PM,es,2,2,2,2,2,2,2,Ludwig van Beethoven,beethovens 5 secrets,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,5,2,2,2,2,2,2,2,,42,2,19,19,18,15,2,,2,3,,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12870608901,08/05/2021 06:43:19 PM,08/05/2021 06:50:22 PM,es,3,4,4,5,2,3,3,James Blunt,you're beautiful,you're beautiful,,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,2,3,2,2,2,NO,4,3,3,4,5,2,5,4,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12870602990,08/05/2021 06:41:06 PM,08/05/2021 06:50:03 PM,es,1,4,3,2,4,2,4,Ludwig van Beethoven,Agemont Overture,,,2,1,2,3,3,3,1,3,2,2,2,2,2,1,3,3,3,2,3,3,3,2,1,3,2,3,2,2,3,2,4,1,1,,3,4,3,2,1,3,2,3,,5,1,7,8,2,11,6,,3,1,,2,2,5,3,1,4,3,5,3,4,2,5,2,4,5,2,5,3,2,5,4,2,4,2,3,4,4,3
12870608806,08/05/2021 06:41:21 PM,08/05/2021 06:49:07 PM,es,5,4,5,4,3,3,3,Elena Anaya,Zapping,,,3,3,3,1,2,3,2,3,3,3,3,2,2,3,4,1,2,1,3,2,4,2,4,2,1,1,2,3,4,1,2,2,2,,1,4,5,4,4,3,5,3,,9,1,13,16,13,14,3,,3,6,,2,2,1,3,4,3,4,3,4,3,4,5,6,5,4,3,4,5,1,2,3,3,3,4,5,6,7,6
12870571199,08/05/2021 06:11:18 PM,08/05/2021 06:48:53 PM,es,3,2,3,3,2,4,3,Akon,Wanna Be Startin' Somethin,,,2,2,4,1,2,2,3,3,2,3,3,4,1,2,3,3,2,2,3,2,3,2,3,2,4,3,2,1,3,3,3,2,1,,1,3,3,2,2,4,3,2,,12,2,13,15,3,7,2,,5,8,,1,2,4,3,3,2,3,2,3,4,4,4,4,4,4,4,3,3,2,2,2,3,2,2,2,2,2,2
12870571143,08/05/2021 06:11:14 PM,08/05/2021 06:48:44 PM,es,2,2,2,3,3,3,3,Justin Timberlake,Future Sex / Love Sounds,,,2,4,2,2,4,3,4,3,2,3,2,2,1,3,2,3,3,4,3,2,3,2,3,1,3,3,2,1,2,2,4,3,3,,3,5,2,3,2,3,3,3,,11,1,14,16,4,11,2,,3,3,,2,3,2,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,2,3
12870571050,08/05/2021 06:11:11 PM,08/05/2021 06:48:35 PM,es,2,2,2,2,3,3,3,Akon,Wanna Be Startin' Somethin,,,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,,4,3,3,3,1,3,3,2,,11,1,6,16,5,14,4,,2,3,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,2,3,2,2,2,2,2
12870570991,08/05/2021 06:11:07 PM,08/05/2021 06:48:26 PM,es,2,3,2,2,3,2,3,Alicia Keys,Infinite,,,2,2,3,3,4,2,2,3,2,3,4,2,3,4,2,3,2,3,3,4,3,3,2,3,3,3,3,3,2,3,1,2,3,,4,4,4,3,3,4,2,4,,18,1,11,4,4,13,3,,4,3,,1,2,2,3,4,4,2,2,4,3,2,3,3,4,3,1,3,5,2,3,3,2,4,3,5,2,3,2
12870570962,08/05/2021 06:11:05 PM,08/05/2021 06:48:17 PM,es,2,3,3,3,1,2,2,Justin Bieber,What Do You Mean?,,,2,1,2,2,3,1,1,3,3,1,1,1,2,2,2,3,2,3,2,1,2,1,2,1,1,2,3,2,3,3,3,2,2,,3,2,3,,3,2,3,3,,12,2,12,15,4,10,2,,2,4,,3,3,2,2,4,5,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,1,3,3,5,3,4
12870589756,08/05/2021 06:21:50 PM,08/05/2021 06:46:51 PM,es,3,3,4,4,2,4,4,Victoria Louise Lott,Turn it up,,,3,2,2,3,3,3,4,3,4,3,4,3,4,4,4,3,4,4,2,3,3,3,2,3,2,3,3,2,3,3,4,3,4,,4,4,3,5,3,4,4,3,,15,2,1,1,1,1,3,,2,3,,2,3,5,3,2,4,2,5,3,5,3,1,5,7,3,2,5,6,6,5,2,6,6,4,5,4,6,7
12870563163,08/05/2021 06:26:37 PM,08/05/2021 06:46:18 PM,es,3,3,1,2,2,3,3,Mozart,Amadeus HDTV1080i DTS,,,2,3,2,3,1,2,4,3,4,1,2,2,2,4,1,2,4,1,3,4,3,1,2,3,4,2,3,2,3,4,3,1,2,1,3,2,1,2,1,2,2,1,,4,2,17,9,3,14,4,,2,2,,3,1,1,2,3,2,3,2,3,2,2,3,2,5,2,4,2,4,4,3,4,5,3,4,3,4,2,5
12870562919,08/05/2021 06:26:35 PM,08/05/2021 06:45:41 PM,es,3,2,2,3,2,3,1,Mozart,Amadeus HDTV1080i DTS,,,2,3,2,1,3,2,3,3,2,2,3,2,2,2,3,1,3,2,3,2,3,2,3,2,1,2,2,2,3,1,2,3,2,1,4,1,3,1,2,3,3,2,,9,2,9,14,13,15,3,,2,8,,2,2,4,3,4,3,4,3,4,3,2,4,3,2,4,4,3,5,6,5,5,4,5,4,5,4,4,4
12870562798,08/05/2021 06:26:31 PM,08/05/2021 06:45:33 PM,es,3,2,1,2,3,2,3,Mozart,Amadeus,,,4,2,4,2,2,1,1,4,3,3,3,2,1,3,3,4,4,4,2,4,4,3,4,2,4,3,4,4,2,4,1,4,4,no,3,2,2,2,3,3,3,2,,18,1,2,15,10,4,1,,3,6,,2,4,4,3,4,3,2,3,4,3,2,3,2,4,3,2,4,3,1,2,3,3,2,1,2,3,3,2
12870562628,08/05/2021 06:26:29 PM,08/05/2021 06:45:14 PM,es,2,5,2,3,4,1,3,Chopin,NOCTURNE,,,3,2,1,2,3,2,2,1,2,2,1,4,4,4,4,4,3,2,3,1,2,2,1,2,3,3,2,2,3,3,3,3,2,no,2,,4,1,5,3,,2,,13,1,16,16,16,18,2,,1,8,,2,3,1,3,2,3,2,3,2,3,2,3,4,2,3,2,3,4,1,2,3,2,1,3,2,1,2,3
12870562509,08/05/2021 06:26:22 PM,08/05/2021 06:43:23 PM,es,3,2,2,3,3,3,2,Beethoven,Copying Beethoven,,,2,3,3,1,3,4,2,4,3,3,2,3,2,2,3,3,3,3,2,2,2,2,2,2,4,4,4,2,2,3,4,3,1,no,3,3,3,3,3,3,3,3,,11,2,8,3,6,6,3,,3,7,,2,4,7,6,5,3,3,3,4,3,4,3,2,3,2,3,2,3,7,6,5,4,3,2,1,2,3,4
12870575866,08/05/2021 06:23:12 PM,08/05/2021 06:40:38 PM,es,3,3,1,2,3,4,2,Ludwig van Beethoven,Fidelio,,,3,3,3,4,2,3,4,3,1,3,3,2,2,2,1,2,2,3,1,1,2,2,2,3,2,3,3,2,3,2,3,3,2,,3,2,3,2,4,3,4,4,,7,2,8,3,6,14,3,,3,1,,2,2,2,2,5,2,4,5,4,4,4,3,3,4,5,3,2,5,2,3,4,3,3,5,4,2,4,5
12870535188,08/05/2021 06:16:37 PM,08/05/2021 06:38:00 PM,es,2,4,3,4,5,4,3,James Blunt,you're beautiful,you're beautiful,,2,3,3,3,2,3,2,3,2,3,2,3,2,3,3,3,3,3,2,2,3,3,3,3,3,2,3,2,3,3,2,3,3,,3,5,4,2,4,3,4,3,NO,17,2,7,9,9,9,4,,2,3,,1,2,2,3,4,5,6,7,6,5,4,3,2,1,2,4,5,5,4,6,5,4,2,2,3,1,2,5
12870534563,08/05/2021 06:16:24 PM,08/05/2021 06:37:34 PM,es,4,5,4,3,3,5,4,James Blunt,you're beautiful,you're beautiful,,3,3,3,4,2,3,3,3,2,3,4,3,2,2,3,3,3,3,3,3,2,2,3,1,3,2,3,2,3,2,3,3,2,no,2,4,4,2,2,3,3,2,no,20,2,9,4,4,9,6,,4,3,,2,3,2,3,4,5,6,7,6,5,4,3,2,1,2,3,4,5,1,2,3,4,5,6,7,6,5,4
12870536330,08/05/2021 06:17:00 PM,08/05/2021 06:37:14 PM,es,3,4,2,3,3,3,3,James Blunt,you're beautiful,you're beautiful,,2,4,4,4,3,3,2,2,3,3,4,2,2,2,4,4,3,3,3,2,2,4,3,3,3,2,3,4,2,3,3,4,3,NO,2,3,1,5,4,3,4,2,NO,16,2,18,17,8,13,2,,3,4,,2,2,2,3,4,5,6,7,7,6,5,4,3,2,1,3,4,5,7,6,5,4,3,2,1,2,3,4
12870535776,08/05/2021 06:16:41 PM,08/05/2021 06:37:07 PM,es,3,4,3,3,3,3,3,James Blunt,you're beautiful,you're beautiful,,3,3,2,3,2,3,3,3,3,2,2,3,4,3,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,2,3,NO,2,2,4,4,3,3,4,3,NO,16,1,5,10,11,10,3,,4,3,,1,2,2,3,4,5,6,7,7,6,4,3,2,1,2,3,4,5,1,2,3,4,5,6,7,6,5,4
12870554968,08/05/2021 06:21:48 PM,08/05/2021 06:36:13 PM,es,5,4,3,2,2,4,2,Wolfgang Amadeus Mozart,Le Nozze di Figaro,,,3,2,3,3,3,4,1,4,3,3,3,3,3,3,2,4,3,2,3,2,3,2,4,2,2,2,2,3,4,3,2,2,2,,2,3,2,3,4,4,4,3,,12,2,1,1,1,1,4,,2,4,,2,4,5,2,2,4,5,3,5,2,5,3,5,2,7,3,6,4,5,5,2,4,6,2,4,5,2,6
12870534440,08/05/2021 06:15:54 PM,08/05/2021 06:35:39 PM,es,4,5,3,4,4,3,5,James Blunt,you're beautiful,you're beautiful,,3,3,3,3,3,4,3,2,3,3,3,3,2,3,2,2,2,3,2,4,2,2,3,3,4,2,3,2,3,3,3,3,4,nio,5,2,3,3,3,3,3,3,no,15,1,4,55,124,8,4,,3,2,,2,3,3,4,5,6,7,7,6,5,4,3,2,3,4,5,6,6,2,3,4,5,6,7,6,5,4,3
12870487929,08/05/2021 05:59:28 PM,08/05/2021 06:35:09 PM,es,2,3,1,2,1,2,3,Beethoven,Symphony No. 6 in F major，Op. 68，Pastoral Symphony,Symphony No. 6 in F major，Op. 68，Pastoral Symphony,NO,3,3,4,2,4,3,2,3,3,4,2,4,3,1,3,2,4,3,2,3,3,2,2,4,1,3,3,2,4,1,2,2,2,NO,2,4,3,4,5,2,1,5,,6,2,5,14,11,10,5,,3,5,,2,3,2,3,2,1,2,3,4,4,4,5,4,3,2,1,2,3,1,2,3,4,5,5,4,5,4,5
12870538153,08/05/2021 06:17:53 PM,08/05/2021 06:35:02 PM,es,3,3,2,3,2,2,2,Ludwig van Beethoven,beethovens 5 secrets,,,2,2,2,3,2,3,3,3,2,2,2,3,3,2,3,3,3,3,2,3,2,2,2,3,3,3,3,2,3,3,3,2,3,,3,3,3,3,3,3,3,3,,25,2,9,17,12,12,6,,3,8,,2,2,3,3,4,3,4,3,4,4,3,4,3,4,4,4,3,4,2,2,2,2,3,3,3,3,3,3
